lat,long,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
17.0009,81.7657,25.25,77,0.76,78,Clouds,1006,12,51.31,2.45,1
24.0572,86.2554,25.99,97,2.46,100,Rain,996,256.84,19.60333333,5.108,1
31.7905,77.3409,18.45,99,0.54,100,Rain,1009,2119.54,86.85666667,2.287,1
22.4404,71.3091,27.46,87,3.32,100,Clouds,1003,157.58,0,1.07,1
9.49041,76.6811,23.15,97,1.49,84,Clouds,1010,110.17,84.43666667,14.002,1
26.0909,92.9144,26.91,89,1.46,99,Clouds,1000,73.56,89.47555556,3.226,1
33.9398,74.8298,23.32,81,0.61,59,Clouds,1007,1673.76,89.73444444,2.315,1
18.8234,75.4418,23.45,84,4.37,100,Clouds,1009,768.84,51.52444444,0.702,1
16.9874,82.1012,27.39,91,2.11,42,Clouds,1010,4.95,88.73333333,2.746,1
13.8493,78.9883,21.74,94,1.3,22,Clouds,1015,340.62,38.45555556,20.194,1
24.0181,68.8677,31.36,68,5.66,73,Rain,999,1.75,65.697245,2.011,1
20.4037,74.4164,23.86,92,5.41,100,Rain,1003,550.19,1.295555556,0.814,1
16.1464,79.4042,26.13,94,0.91,93,Clouds,1008,188.01,23.17555556,3.918,1
23.3997,88.9474,25.83,95,3.34,100,Clouds,1009,4.68,88.35666667,6.086,1
21.1735,85.3527,26.34,79,3.52,94,Clouds,1003,126.87,91.09111111,9.391,1
27.094,94.643,25.57,98,2,100,Rain,1001,91.26,66.6544,1.802,1
24.4457,92.0058,23.47,97,2.09,100,Rain,1005,20.18,91.19,3.264,1
9.72651,76.423,23.6,97,1.97,100,Rain,1010,-0.2,67.49222222,2.421,1
26.5321,84.87,26.76,95,1.37,90,Clouds,1005,65.69,89.31777778,2.073,1
10.4517,78.7843,23.55,95,5.18,100,Rain,1014,103.03,81.55777778,16.23,1
27.8034,95.3833,25.96,89,1.21,99,Clouds,1002,124.81,82.67889,5.985,1
22.342,88.9351,27.57,91,2.18,100,Rain,1001,2.86,73.29222222,6.226,1
20.8681,73.6623,23.2,99,5.03,100,Rain,1003,399.93,86.28777778,2.232,1
25.8418,89.2696,27.63,91,3.16,100,Clouds,998,35.96,60.91888889,2.219,1
30.5622,78.5235,20.8,97,0.81,100,Rain,1001,1954.28,80.61111111,24.506,1
21.5391,73.2201,26.1,95,2.33,100,Rain,1007,53.19,76.99666667,2.164,1
11.8739,75.527,25.43,92,3.21,100,Rain,1010,35.12,80.19333333,2.063,1
12.9158,74.9274,24.7,94,3.03,100,Rain,1007,52.96,80.25555556,1.479,1
21.3961,73.44,24.51,97,3.74,100,Rain,999,204.79,95.37111111,3.63,1
21.9811,73.9596,25.42,91,3.32,100,Clouds,1004,293.08,1.014444444,5.351,1
19.1881,79.2948,26.43,83,1.71,100,Clouds,1006,299.29,81.89666667,2.28,1
20.6258,85.8936,26.37,95,1.95,90,Clouds,1000,55.16,96.18333333,0.752,1
12.1226,75.4747,23.98,93,1.2,99,Rain,1011,137.7,88.16666667,5.588,1
25.4989,85.8918,27.73,92,2.97,99,Rain,995,42.75,38.88666667,3.186,1
21.0247,73.7641,23.14,98,5.9,100,Rain,1006,408.68,71.90333333,9.164,1
24.6862,89.4002,24.59,98,5.63,100,Rain,1008,17.75,90.42,1.049,1
31.6718,78.4423,0.68,96,0.54,74,Clouds,1014,2720.47,37.98444444,2.322,1
21.433,73.0739,26.8,91,7.08,100,Rain,999,30.36,88.44333333,5.902,1
