,lat,long,dt_txt,temp,humidity,wind,cloud,weather,pressure,sea level,forest,river,class
48,23.9,91.23,2020-09-05 11:30:00+05:30,34.83,62,1.0,20,Clouds,1007,6.96,63.00111111,15.0,0.0
49,20.53,76.18,2020-10-12 14:30:00+05:30,30.75,65,1.0,54,Clouds,1001,657.03,80.26222222,22.20360331,0.0
50,22.33,77.1,2020-05-07 23:30:00+05:30,30.25,38,2.32,37,Clouds,1006,286.55,89.84444444,100.0,0.0
51,17.25,80.15,2020-12-30 17:30:00+05:30,27.44,67,1.68,0,Clear,1012,124.27,59.83222222,5.385164807,0.0
52,22.07,81.68,2020-12-15 05:30:00+05:30,20.26,79,1.84,46,Clouds,1015,278.01,88.48666667,100.0,0.0
53,29.5167,75.45,2021-01-11 20:30:00+05:30,9.81,86,2.42,0,Clear,1018,212.66,69.00111111,100.0,0.0
54,23.33,86.37,2020-02-24 05:30:00+05:30,20.07,79,1.36,93,Clouds,1013,246.63,27.58111111,10.0,0.0
55,26.7833,82.1333,2021-01-27 20:30:00+05:30,10.42,90,2.01,0,Clear,1018,99.8,52.18666667,16.15549442,0.0
56,17.47,73.6,2020-03-24 05:30:00+05:30,24.63,91,0.71,14,Clouds,1009,119.76,90.61888889,21.54065923,0.0
57,16.65,74.13,2020-10-02 17:30:00+05:30,26.44,78,3.27,36,Clouds,1008,551.14,76.64111111,100.0,0.0
58,20.63,72.93,2020-02-20 11:30:00+05:30,28.69,57,2.18,0,Clear,1014,1.0,56.78111111,8.062257748,0.0
59,32.73,74.87,2020-10-27 02:30:00+05:30,15.57,63,1.5,5,Clear,1012,352.51,17.70222222,3.605551275,0.0
60,21.33,83.62,2020-11-10 08:30:00+05:30,21.06,71,2.54,0,Clear,1016,171.68,74.34666667,8.0,0.0
61,31.53,75.92,2020-06-01 11:30:00+05:30,27.59,68,1.14,35,Clouds,1011,306.38,46.09,55.47071299,0.0
62,26.92,75.82,2020-10-08 20:30:00+05:30,25.11,58,1.91,0,Clear,1009,439.05,15.84777778,100.0,0.0
63,22.0667,78.9333,2021-01-29 11:30:00+05:30,20.55,55,2.89,18,Clouds,1018,681.91,47.39222222,45.88027899,0.0
64,22.6,75.3,2020-11-14 08:30:00+05:30,20.35,74,1.0,1,Clear,1017,560.46,54.19111111,2.236067977,0.0
65,20.82,71.03,2020-07-16 05:30:00+05:30,27.4,91,3.63,100,Rain,998,25.71,22.60222222,14.2126704,0.0
66,27.37,79.63,2020-05-13 05:30:00+05:30,27.87,73,1.43,94,Clouds,1006,148.22,37.67666667,8.94427191,0.0
67,24.18,86.3,2020-03-06 05:30:00+05:30,19.07,85,1.38,30,Clouds,1012,295.18,33.37333333,14.0,0.0
68,18.0333,78.2667,2021-01-14 14:30:00+05:30,29.6,42,1.79,0,Clear,1011,458.02,58.47555556,9.899494937,0.0
69,-8.59,116.2,2020-05-02 14:30:00+05:30,29.16,68,0.56,67,Clouds,1008,136.17,87.76666667,93.13431162,0.0
70,31.6331,74.8656,2021-01-31 05:30:00+05:30,6.75,94,0.6,0,Clear,1016,233.28,15.91333333,100.0,0.0
