,riverdistance,forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
77,30,92.64111,128.86,28.64,88,1.29,99,Clouds,999,1
78,1.6,87.69542,199.67,38.11,36,3.97,63,Clouds,1001,1
79,4,88.60556,16.43,25.48,98,2.07,51,Clouds,1011,1
80,17,70.96889,735.84,20.8,93,0,20,Clouds,1010,1
81,4,91.19,20.18,25.94,96,0.51,100,Rain,1004,1
82,2.4,1.787778,94.29,27.6,84,5.36,81,Clouds,1001,1
83,1.1,67.49222,-0.2,27.74,85,1.8,73,Clouds,1008,1
84,25,55.21778,222.72,28.54,86,1.53,95,Clouds,1005,1
85,1.3,32.52778,4149.66,5.82,91,1.67,100,Rain,1011,1
86,4.6,89.94,1646.56,20.23,86,0.81,15,Clouds,1010,1
87,30,86.46333,82.26,27.6,88,3.19,45,Clouds,1007,1
88,3.3,89.31778,65.69,27.83,94,2.38,98,Clouds,998,1
89,0.7,47.69,220.28,31.42,68,0.82,79,Clouds,999,1
90,0.3,17.87111,154.25,24.34,97,1.25,39,Clouds,1011,1
91,9,81.55778,103.03,23.16,91,2.08,74,Clouds,1013,1
92,30,22.03667,629.48,22.93,94,5.39,100,Rain,999,1
93,65.5,92.01556,307.25,24.14,48,1.52,0,Clear,1012,1
94,13.5,68.7951,-0.03,27.23,39,3.26,0,Clear,1008,1
95,13,61.28444,4.34,27.66,93,0,20,Haze,1001,1
96,10,78.24333,7.44,27.2,86,2.99,100,Rain,1008,1
97,7,86.00778,13,33.13,76,5.38,68,Clouds,1000,1
98,5.2,43.58333,67.84,26.65,88,4.77,100,Clouds,1001,1
99,67.5,89.22,51.64,29.75,78,3.04,99,Rain,1001,1
100,151,91.97111,2254.64,14.84,96,0.64,100,Rain,1010,1
101,77.6,92.96222,3.56,25.84,90,3.93,100,Rain,999,1
102,43.2,93.88111,1885.09,17.8,94,1.14,100,Rain,1006,1
103,15.5,90.22667,60.2,27.2,29,4.53,5,Clear,1003,1
104,34.05,90.19222,138.82,32.03,75,1.61,38,Clouds,1000,1
105,1.683,78.45778,83.7,25.09,97,1.55,95,Rain,1005,1
106,9.6,79.61575,1.8,29.06,89,1.58,100,Rain,997,1
107,22.5,50.85,319.74,29.38,47,2.42,0,Clear,1010,1
108,19.1,6.758889,320.63,27.12,82,1.28,93,Clouds,1005,1
109,0.1,25.28889,93.25,22.98,87,1.98,78,Clouds,1009,1
110,5.4,91.38333,52.6,20.84,99,3.17,100,Rain,1003,1
111,0.2,90.5975,71.97,25.46,92,1.23,68,Rain,1000,1
112,12.6,19.02889,141.73,31.05,65,3.95,100,Clouds,1001,1
113,227,89.14333,203.85,27.96,63,2.15,0,Clear,1003,1
114,32.48,18.99222,3975.7,-1.27,91,1.36,71,Clouds,1018,1
115,16.5,19.31111,267.33,32.45,65,1.37,100,Clouds,996,1
116,50,87.67222,71.99,29.17,80,2.88,26,Clouds,1006,1
117,16.178,92.71333,82.68,27.2,93,0.62,100,Rain,1004,1
118,12.5,91.98111,81.65,29.85,76,1.63,30,Clouds,1004,1
119,6.8,94.15889,35.11,28.28,88,2.23,84,Rain,1005,1
120,8.2,90.36222,530.7,28.73,77,2.34,66,Clouds,1009,1
121,7.01,98.7951,73.6,27.05,92,2.61,99,Rain,996,1
122,23.65,90.29111,45.05,32.59,47,2.86,11,Clouds,1005,1
123,8.7,95.29778,177.17,25.69,76,0,40,Haze,1007,1
124,16,91.50556,154.33,24.8,100,1.83,100,Rain,1002,1
125,0.1,75.9514,59.51,27.35,93,1.22,99,Rain,996,1
126,3.26,71.46889,47.46,29.04,85,5.6,64,Clouds,999,1
127,14.2,89.04889,1351.23,18.59,68,1.85,24,Clouds,1011,1
128,3.146,18.17111,598.94,30.74,57,1.73,25,Clouds,1005,1
129,0.1,83.38778,244.95,26.47,93,3.48,100,Rain,998,1
130,5.4,90.75778,1163.29,23.74,95,0.49,50,Rain,1006,1
131,0.1,96.47512,74.09,25.9,93,1.15,93,Rain,1008,1
132,5.25,89.61,233.7,35.31,26,1.5,96,Clouds,1003,1
133,3.7,61.61111,4333.4,16.12,72,0.71,28,Clouds,1010,1
134,40,85.85667,291.49,25.19,93,0.54,69,Clouds,1012,1
135,8.6,58.05444,4376.91,-14.76,59,1.59,96,Clouds,1027,1
136,13.44,80.85667,50.79,32.41,70,2.97,46,Rain,1006,1
137,2.635,83.16444,79.93,19.81,93,1.29,100,Rain,1011,1
138,1.2,52.29778,113.53,28.28,88,3.33,99,Clouds,1001,1
139,43.2,90.75111,87.12,27.44,95,1.48,100,Clouds,1005,1
140,6.86,93.24667,76.76,27.95,87,1.46,10,Clear,1006,1
141,13.2,21.93778,264.19,28.77,40,2.08,0,Clear,1014,1
142,100,58.05444,4376.91,-14.76,59,1.59,96,Clouds,1027,1
143,21,80.85667,50.79,32.41,70,2.97,46,Rain,1006,1
144,3.041,83.16444,79.93,19.81,93,1.29,100,Rain,1011,1
145,3.4,52.29778,113.53,28.28,88,3.33,99,Clouds,1001,1
146,42.75,90.75111,87.12,27.44,95,1.48,100,Clouds,1005,1
147,8.5,93.24667,76.76,27.95,87,1.46,10,Clear,1006,1
148,11.83,21.93778,264.19,28.77,40,2.08,0,Clear,1014,1
149,1.02,25.24889,52.35,28.52,87,4.41,97,Clouds,1000,1
150,62.66,93.83889,339.54,26.29,89,1.37,4,Clear,1009,1
151,0.1,95.82225,105.81,17.28,92,1.35,98,Rain,1010,1
152,1.2,86.48778,129.3,25.79,95,2.55,64,Clouds,1001,1
153,18,90.41889,15.42,27.62,93,1.98,100,Rain,1004,1
154,9.5,87.16556,30.5,24.24,59,2,0,Clear,1014,1
155,0.5,75.9584,-5.72,31.84,80,1.5,20,Clouds,1005,1
156,3.24,85.16222,49,24.43,96,3.74,20,Rain,1005,1
157,17.5,89.6974,92.75,30.29,83,1.2,99,Rain,997,1
158,18.5,7.435556,464.02,34.39,24,2.55,40,Clouds,1010,1
159,13.5,93.03333,742.92,23.89,92,0.95,94,Rain,1010,1
160,6.275,95.92778,290.59,25.07,94,1.3,100,Clouds,1003,1
161,7.2,0,483.22,25.73,87,2.07,78,Clouds,1008,1
162,11.714,94.02778,524.75,25.07,92,2.36,88,Rain,1010,1
163,27.7,97.52222,535.16,36.8,47,1.31,44,Clouds,1000,1
164,20.069,88.91778,212.91,32.56,68,1.65,0,Clear,1001,1
165,6.77,86.81667,11.29,25.65,89,2.96,100,Clouds,1005,1
166,33,0,323.96,28.55,75,4.32,94,Clouds,1001,1
167,5.139,86.28778,399.93,24.35,50,1.63,0,Clear,1005,1
168,16.04,80.61111,1954.28,11.57,76,1.6,5,Clear,1012,1
169,3.4,80.50444,45.18,26.61,81,2.28,100,Clouds,1009,1
170,1.826,1.014444,293.08,23.99,94,3.35,100,Clouds,1003,1
171,7.268,81.89667,299.29,31.04,42,4.94,52,Clouds,1003,1
