,riverdistance,forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
381,5.139,53.14333,246.21,36.25,43,2.35,73,broken clouds,997,0
382,16.04,59.01889,178.92,45.02,6,7.36,47,scattered clouds,1000,0
383,3.4,32.5,242.96,23.72,22,1.36,65,broken clouds,1008,0
384,1.826,1.81,307.73,36.67,17,8.89,15,few clouds,1001,0
385,7.268,76.64111,551.14,15.56,92,1.22,32,scattered clouds,1012,0
386,15.57,4.683333,4.25,26.45,75,0.24,49,scattered clouds,1010,0
387,10.11,88.55111,359.07,28.43,68,1.38,97,overcast clouds,1004,0
388,1.382,11.68,572.29,25,81,6.08,100,overcast clouds,1005,0
389,3.998,22.60222,25.71,25.94,70,4.92,0,clear sky,1011,0
390,8.057,88.65556,22.26,26.6,35,0.93,0,clear sky,1011,0
391,12.1,85.46778,1598.02,11.59,48,0.94,44,scattered clouds,1012,0
392,0.1,51.49333,28.81,38.04,32,5.7,6,clear sky,1006,0
393,0.15,27.58111,246.63,24.65,33,1.56,0,clear sky,1016,0
394,15.5,86.71778,360.83,19.11,34,1.13,1,clear sky,1015,0
395,16,19.42444,125.77,19.74,83,1.42,20,few clouds,1011,0
396,0.4,29.02111,244.28,32.4,44,2.97,0,clear sky,1003,0
397,3,74.17889,36.31,33.88,47,6.11,100,overcast clouds,1005,0
398,0.01,93.29667,1625.31,11.35,84,1.34,0,clear sky,1009,0
399,3.4,90.37667,151.11,17.93,90,0.97,67,broken clouds,1015,0
400,3.3,69.81222,257.79,18.55,37,2.34,2,clear sky,1013,0
401,4.2,90.41556,224.38,24.41,19,2.95,0,clear sky,1016,0
402,4.1,34.25889,276.81,28.83,60,0.91,31,scattered clouds,1001,0
403,0.3,76.75444,661.3,34.25,16,3.67,50,scattered clouds,1007,0
404,2,69.82,142.02,27.5,51,2.96,0,clear sky,1004,0
405,8,34.73111,175.48,17.02,27,2.14,0,clear sky,1014,0
406,4.6,46.73,537.46,30.31,30,5.42,95,overcast clouds,1009,0
407,1.6,89.84556,286.55,31.42,20,1.29,0,clear sky,1010,0
408,0.58,56.63222,202.83,29.68,13,3.97,0,clear sky,1012,0
409,1.1,79.70222,299.63,20.08,30,2.33,33,scattered clouds,1013,0
410,0.05,5.172222,210.86,37.18,43,2.13,10,clear sky,996,0
411,2.3,77.76,190.85,27.59,85,5.76,98,light rain,1003,0
412,1,88.62889,94.53,14.65,43,2.33,0,clear sky,1016,0
413,30,72.01444,134.21,12.63,40,1.97,90,overcast clouds,1013,0
414,0.35,36.13333,219.18,23.11,52,0.7,0,clear sky,1015,0
415,1.85,70.34,406.7,32.37,54,1.73,97,overcast clouds,1003,0
416,2.1,81.20333,229.18,29.47,68,4.13,44,scattered clouds,1004,0
417,0.998,77.26556,1978.24,19.25,80,1.99,55,light rain,1000,0
418,12,12.25667,243.35,33.19,51,4.18,98,overcast clouds,998,0
419,1.7,82.21333,21.42,24.9,32,0.48,83,broken clouds,1014,0
420,1.8,48.64333,209.43,30.92,24,1.1,0,clear sky,1010,0
421,2.75,75.83667,3.79,30.54,63,3.37,5,clear sky,1008,0
422,2.32,92.81,371.66,24.47,69,6,94,overcast clouds,1015,0
423,0.1,45.68222,641.79,24.8,32,4.53,0,clear sky,1014,0
424,1.9,15.52222,184.66,27.72,18,1.98,0,clear sky,1006,0
425,7.02,39.95889,211.95,19.85,68,3.2,56,broken clouds,1010,0
426,0.01,40.89444,281.97,33.05,36,0.78,32,light rain,1008,0
427,0.7,0.098889,289.57,20.94,44,7.81,0,clear sky,1009,0
