,lat,long,startdate,temp,humidity,wind,cloud,weather
175,28.1973,79.3734,16-09-2005,23.55,99,5.53,100,Rain
176,11.7804,78.7317,23-10-2005,26.51,82,0.21,98,Rain
177,18.7332,75.2343,31-05-2006,29.41,66,4.34,96,Clouds
178,10.5443,76.0498,25-05-2006,26.9,85,3.74,100,Rain
179,25.6151,83.6713,24-06-2006,35.49,53,2.57,91,Clouds
180,27.5853,81.5174,29-08-2006,28.41,86,1.8,100,Rain
181,19.73,83.7466,18-09-2006,25.19,89,1.36,100,Clouds
182,14.1349,79.9324,26-10-2006,25.33,89,4.52,100,Rain
183,14.945,78.1615,22-06-2007,26.06,87,5.45,100,Rain
184,27.5773,95.263,07-12-2007,19.96,69,1.79,93,Clouds
185,31.2388,76.5268,08-12-2007,16.64,75,2.32,0,Clear
186,15.7067,79.878,16-09-2007,27.5,86,1.56,100,Rain
187,20.9096,86.4033,22-09-2007,26.4,92,5.69,100,Rain
188,12.725,79.7002,27-10-2007,25.92,87,3.41,100,Clouds
189,22.1496,110.224,06-11-2008,25.84,87,1.52,35,Clouds
190,27.0442,94.5503,30-08-2008,27.32,93,1.44,100,Rain
191,15.3059,74.7271,07-11-2009,27.58,65,3.91,98,Rain
192,25.5869,86.1983,07-12-2010,20.84,82,1.16,100,Clouds
193,9.88679,78.4773,15-11-2010,28.28,79,1.54,100,Clouds
194,22.3056,88.3453,08-10-2011,28.57,84,1.45,97,Clouds
195,26.3755,86.2422,15-08-2011,28.96,86,2.22,100,Rain
196,26.5897,92.1815,15-08-2011,28.31,89,1.11,90,Rain
197,20.6511,86.0022,09-05-2011,34.53,64,3.42,22,Clouds
198,21.9781,82.5285,06-11-2013,27.61,49,0.26,0,Clear
199,21.2719,84.2495,10-12-2013,21.45,66,1.74,54,Clouds
200,24.7174,85.9321,10-12-2013,19.98,79,2.42,0,Clear
201,27.3852,79.7586,08-11-2014,26.83,70,2.61,0,Clear
202,26.1795,86.2537,14-08-2014,26.79,96,2.48,100,Rain
203,27.6132,94.6542,15-08-2014,24.39,94,1.49,100,Rain
204,18.4473,79.6967,10-12-2014,27.58,71,2.05,50,Clouds
205,11.8278,78.8554,11-10-2015,28.53,76,0.32,98,Clouds
206,27.464,95.6068,20-04-2016,21.82,95,2.21,100,Rain
207,10.489,79.0039,30-10-2017,26.22,87,3.37,100,Clouds
208,26.8948,93.3551,06-12-2018,16.02,89,0.93,16,Clouds
209,20.9795,73.783,22-06-2018,30.21,67,3.96,98,Clouds
210,12.5238,75.6883,07-09-2018,22.55,88,2,100,Rain
211,26.0513,94.7655,15-08-2018,25.27,77,0.91,96,Clouds
212,31.3414,76.6285,23-09-2018,22.81,92,0.91,100,Rain
213,27.0678,94.2459,25-10-2019,22.24,90,2.3,100,Rain
