District,Latitude,Longitude
Gaya,24.885039930000,84.693579910000
Gaya,24.882744970000,84.688847000000
Gaya,24.875434910000,84.683601750000
Gaya,24.885033070000,84.696034660000
Gaya,24.882693320000,84.692593070000
Gaya,24.882344840000,84.690112970000
Gaya,24.882223250000,84.690196040000
Gaya,24.729524846189,85.138956494629
Gaya,24.725727508776,85.136128189042
Gaya,24.725902774371,85.139214741066
Gaya,24.454227090000,84.591010560000
Gaya,24.447580480000,84.581479880000
Gaya,24.459841630000,84.581418520000
Gaya,24.463113780000,84.582019800000
Gaya,24.804553140000,84.730400420000
Gaya,24.512246110000,84.727936540000
Gaya,24.513247380000,84.727968380000
Gaya,24.516735840000,84.729410280000
Gaya,24.551130760000,84.916671020000
Gaya,24.558070150000,84.932736470000
Gaya,24.556732650000,84.934941140000
Gaya,24.578302850000,84.928551030000
Gaya,24.567222790000,84.924390620000
Gaya,24.854178540000,84.851749220000
Gaya,24.621085990000,84.625521020000
Gaya,24.638280780000,84.683005760000
Gaya,24.760588179342,85.025800717995
Gaya,24.518499860000,84.953986640000
Gaya,24.516510690000,84.952414510000
Gaya,24.518138380000,84.953311290000
Gaya,24.412377790000,84.448625850000
Gaya,24.972724250000,85.017074470000
Gaya,24.456716460000,85.138181870000
Gaya,24.458458070000,85.140539500000
Gaya,24.461600730000,85.043838170000
Gaya,24.460545020000,85.048329960000
Gaya,24.537353130000,85.001951720000
Gaya,24.530618250000,85.000273020000
Gaya,24.525631330000,84.997888490000
Gaya,24.806588820000,84.837573820000
Gaya,25.016409100000,84.850914930000
Gaya,25.021085380000,84.849769800000
Gaya,25.006608180000,84.853203860000
Gaya,24.889821970000,84.994154360000
Gaya,24.848243880000,84.971707600000
Gaya,24.621500550000,84.774961900000
Gaya,24.621870810000,84.774800020000
Gaya,24.578285515308,85.188701748848
Gaya,24.482182920000,84.622156340000
Gaya,24.481175210000,84.617980050000
Gaya,24.466517880000,84.612222720000
Gaya,24.803421632387,85.250362046063
Gaya,24.804031290114,85.250133303925
Gaya,24.794488786720,85.241825999692
Gaya,24.793469170108,85.242090700194
Gaya,24.805557047948,85.257515162230
Gaya,24.858770649880,85.319211920723
Gaya,24.859467688948,85.319215105847
Gaya,24.836347214878,85.305379517376
Gaya,24.897616035305,85.198948206380
Gaya,24.882556898519,85.190110076219
Gaya,24.892703611404,85.195396794006
Gaya,24.857629050000,84.785235740000
Gaya,24.857357970000,84.785076240000
Gaya,24.857366380000,84.785028660000
Gaya,24.899097120000,84.925376750000
Gaya,24.889750247821,85.120634995401
Gaya,24.885592195205,85.117764109746
Gaya,24.529892860000,84.915812430000
Gaya,24.534923850000,84.903054110000
Gaya,24.514229160000,84.902116420000
Gaya,24.527614650000,84.913974080000
Gaya,24.532840610000,84.902796440000
Gaya,24.534947550000,84.901911440000
Gaya,24.535797210000,84.902279340000
Gaya,24.534973290000,84.904425730000
Gaya,24.537830570000,84.910193270000
Gaya,24.664337960000,84.747612550000
Gaya,24.444760560000,84.526792910000
Gaya,24.453853970000,84.552163680000
Gaya,24.453766370000,84.542536420000
Gaya,24.441700340000,84.388775670000
Gaya,24.442641170000,84.391312080000
Gaya,24.442315010000,84.387639830000
Gaya,24.441727780000,84.380294310000
Gaya,24.442039830000,84.389902900000
Gaya,24.442920680000,84.389211980000
Gaya,24.878094070000,84.875492930000
Gaya,24.922842860000,84.986217710000
Gaya,24.928139180000,84.866240480000
Gaya,24.859014563262,85.244115935639
Gaya,24.616619010000,84.738332290000
Gaya,24.661423890000,85.056541960000
Gaya,24.661529330000,85.053943670000
Gaya,24.815535680000,84.808928070000
Gaya,24.666282090000,84.770726030000
Gaya,24.668706030000,84.772254420000
Gaya,24.669663420000,84.762333340000
Gaya,24.670617250000,84.772961260000
Gaya,24.674912170000,84.774389290000
Gaya,24.664823850000,84.783967100000
Gaya,24.666701600000,84.785604940000
Gaya,24.667875740000,84.779069550000
Gaya,24.666230350000,84.784372470000
Gaya,24.666564440000,84.785279950000
Gaya,24.571654910000,84.791897680000
Gaya,24.454117240000,84.584449730000
Gaya,24.455484350000,84.581208120000
Gaya,24.454800210000,84.582749260000
Gaya,24.455692400000,84.581063000000
Gaya,24.453228540000,84.585707080000
Gaya,24.453070040000,84.586872500000
Gaya,24.447336190000,84.581733640000
Gaya,24.448460370000,84.581651420000
Gaya,24.453499410000,84.585216810000
Gaya,24.453386620000,84.585234560000
Gaya,24.813977280000,84.723719780000
Gaya,24.615024120000,85.061822750000
Gaya,24.617213710000,85.062024010000
Gaya,24.456874610000,85.070297960000
Gaya,24.456874610000,85.070297960000
Gaya,25.050135157071,85.148553019390
Gaya,25.058590946719,85.171225396916
Gaya,24.924465073273,85.337221026421
Gaya,24.619024288841,84.975261278450
Gaya,24.615551372990,84.994548624381
Gaya,24.639328527264,84.999417420477
Gaya,24.639905118383,84.999269312248
Gaya,24.778149980000,84.934356290000
Gaya,24.698012420000,84.837435480000
Gaya,24.892700887285,85.195436188951
Gaya,24.882508660667,85.189813859761
Gaya,24.685840336606,85.026181088761
Gaya,24.933351300000,85.012155840000
Gaya,24.770505437627,85.041500525549
Gaya,24.774064938538,85.035515427589
Gaya,24.773967373185,85.035670241341
Gaya,24.767013578676,85.044342409819
Gaya,24.766224296764,85.045739002526
Gaya,24.775685202330,85.019236179069
Gaya,24.412051770000,84.345644540000
Gaya,24.408876170000,84.345466090000
Gaya,24.655109050000,84.702929470000
Gaya,24.629292497411,85.261781550944
Gaya,24.646642156877,85.242049712688
Gaya,24.644033163786,85.233305543661
Gaya,24.648985611275,85.246349126101
Gaya,24.634924840000,84.644742130000
Gaya,24.627329240000,84.637145330000
Gaya,24.900585740000,84.968726110000
Gaya,24.891469020000,84.974046580000
Gaya,24.890539660000,84.982301440000
Gaya,24.898985870000,84.990341920000
Gaya,24.896822190000,84.991908930000
Gaya,24.891273280000,84.978568820000
Gaya,24.891052170000,84.979951020000
Gaya,24.891040780000,84.987019270000
Gaya,24.532702460000,84.772571930000
Gaya,24.773311990000,84.934298210000
Gaya,24.773607090000,84.933732830000
Gaya,24.774204040000,84.944532510000
Gaya,24.773601950000,84.934219340000
Gaya,24.774452570000,84.933992660000
Gaya,24.545223890000,84.719505180000
Gaya,24.757682690000,84.945692820000
Gaya,24.831134320000,84.931764850000
Gaya,24.829668670000,84.931571760000
Gaya,24.805454160000,84.716560170000
Gaya,24.528190620000,85.050128680000
Gaya,24.536952860000,85.042752340000
Gaya,24.537660060000,85.043092580000
Gaya,24.466962720000,84.620595110000
Gaya,24.870280900000,84.888520550000
Gaya,25.053064250000,84.879610850000
Gaya,24.734461470000,84.795662750000
Gaya,24.970432020000,85.058167900000
Gaya,24.990018640000,84.842599760000
Gaya,24.607908921316,85.245255790651
Gaya,24.611134906299,85.225380621850
Gaya,24.612815310247,85.224231965840
Gaya,24.922454930000,85.007282490000
Gaya,24.626892129891,85.210700053722
Gaya,24.629977424629,85.219713114202
