,Unnamed: 0,cause,riverdistance,sealevel,severity,temp,humidity,wind_speed,pressure,class
96,96,Rain,10,7.44,1,27.2,86,2.99,1008,1
97,97,Clouds,7,13,1,33.13,76,5.38,1000,1
98,98,Clouds,5.2,67.84,1,26.65,88,4.77,1001,1
99,99,Clouds,67.5,51.64,1.5,29.75,78,3.04,1001,1
100,100,Rain,151,2254.64,2,14.84,96,0.64,1010,1
101,101,Rain,77.6,3.56,1.5,25.84,90,3.93,999,1
102,102,Rain,43.2,1885.09,1,17.8,94,1.14,1006,1
103,103,Clear,15.5,60.2,1.5,27.2,29,4.53,1003,1
104,104,Clouds,34.05,138.82,1,32.03,75,1.61,1000,1
105,105,Rain,1.683,83.7,1,25.09,97,1.55,1005,1
106,106,Rain,9.6,1.8,2,29.06,89,1.58,997,1
107,107,Clear,22.5,319.74,2,29.38,47,2.42,1010,1
108,108,Clouds,19.1,320.63,1.5,27.12,82,1.28,1005,1
109,109,Clouds,0.1,93.25,1,22.98,87,1.98,1009,1
110,110,Rain,5.4,52.6,2,20.84,99,3.17,1003,1
111,111,Rain,0.2,71.97,1.5,25.46,92,1.23,1000,1
112,112,Clouds,12.6,141.73,1,31.05,65,3.95,1001,1
113,113,Clear,227,203.85,1,27.96,63,2.15,1003,1
114,114,Clouds,32.48,3975.7,1.5,-1.27,91,1.36,1018,1
115,115,Clouds,16.5,267.33,1,32.45,65,1.37,996,1
116,116,Clouds,50,71.99,1.5,29.17,80,2.88,1006,1
117,117,Rain,16.178,82.68,1.5,27.2,93,0.62,1004,1
118,118,Clouds,12.5,81.65,1.5,29.85,76,1.63,1004,1
119,119,Rain,6.8,35.11,1,28.28,88,2.23,1005,1
120,120,Clouds,8.2,530.7,1,28.73,77,2.34,1009,1
121,121,Rain,7.01,73.6,1,27.05,92,2.61,996,1
122,122,Clouds,23.65,45.05,1,32.59,47,2.86,1005,1
123,123,Haze,8.7,177.17,1,25.69,76,0,1007,1
124,124,Rain,16,154.33,1.5,24.8,100,1.83,1002,1
125,125,Rain,0.1,59.51,1.5,27.35,93,1.22,996,1
126,126,Clouds,3.26,47.46,1,29.04,85,5.6,999,1
127,127,Clouds,14.2,1351.23,1.5,18.59,68,1.85,1011,1
128,128,Clouds,3.146,598.94,1,30.74,57,1.73,1005,1
129,129,Rain,0.1,244.95,1,26.47,93,3.48,998,1
130,130,Rain,5.4,1163.29,2,23.74,95,0.49,1006,1
131,131,Rain,0.1,74.09,2,25.9,93,1.15,1008,1
132,132,Clouds,5.25,233.7,2,35.31,26,1.5,1003,1
133,133,Clouds,3.7,4333.4,1.5,16.12,72,0.71,1010,1
134,134,Clouds,40,291.49,1,25.19,93,0.54,1012,1
135,135,Clouds,8.6,4376.91,1.5,-14.76,59,1.59,1027,1
136,136,Rain,13.44,50.79,1,32.41,70,2.97,1006,1
137,137,Rain,2.635,79.93,1.5,19.81,93,1.29,1011,1
138,138,Clouds,1.2,113.53,1.5,28.28,88,3.33,1001,1
139,139,Clouds,43.2,87.12,2,27.44,95,1.48,1005,1
140,140,Clear,6.86,76.76,1,27.95,87,1.46,1006,1
141,141,Clear,13.2,264.19,1.5,28.77,40,2.08,1014,1
142,142,Clouds,100,4376.91,1.5,-14.76,59,1.59,1027,1
143,143,Rain,21,50.79,1,32.41,70,2.97,1006,1
144,144,Rain,3.041,79.93,1.5,19.81,93,1.29,1011,1
145,145,Clouds,3.4,113.53,1.5,28.28,88,3.33,1001,1
146,146,Clouds,42.75,87.12,2,27.44,95,1.48,1005,1
147,147,Clear,8.5,76.76,1,27.95,87,1.46,1006,1
148,148,Clear,11.83,264.19,1.5,28.77,40,2.08,1014,1
149,149,Clouds,1.02,52.35,1.5,28.52,87,4.41,1000,1
150,150,Clear,62.66,339.54,1.5,26.29,89,1.37,1009,1
151,151,Rain,0.1,105.81,1,17.28,92,1.35,1010,1
152,152,Clouds,1.2,129.3,1,25.79,95,2.55,1001,1
153,153,Rain,18,15.42,1,27.62,93,1.98,1004,1
154,154,Clear,9.5,30.5,1.5,24.24,59,2,1014,1
155,155,Clouds,0.5,-5.72,1.5,31.84,80,1.5,1005,1
156,156,Rain,3.24,49,1.5,24.43,96,3.74,1005,1
157,157,Rain,17.5,92.75,1,30.29,83,1.2,997,1
158,158,Clouds,18.5,464.02,1.5,34.39,24,2.55,1010,1
159,159,Rain,13.5,742.92,1.5,23.89,92,0.95,1010,1
160,160,Clouds,6.275,290.59,1.5,25.07,94,1.3,1003,1
161,161,Clouds,7.2,483.22,1.5,25.73,87,2.07,1008,1
162,162,Rain,11.714,524.75,1.5,25.07,92,2.36,1010,1
163,163,Clouds,27.7,535.16,1,36.8,47,1.31,1000,1
164,164,Clear,20.069,212.91,2,32.56,68,1.65,1001,1
165,165,Clouds,6.77,11.29,1,25.65,89,2.96,1005,1
166,166,Clouds,33,323.96,1,28.55,75,4.32,1001,1
167,167,Clear,5.139,399.93,1,24.35,50,1.63,1005,1
168,168,Clear,16.04,1954.28,1,11.57,76,1.6,1012,1
169,169,Clouds,3.4,45.18,1,26.61,81,2.28,1009,1
170,170,Clouds,1.826,293.08,1,23.99,94,3.35,1003,1
171,171,Clouds,7.268,299.29,1.5,31.04,42,4.94,1003,1
172,172,Rain,15.57,11.98,1,25.01,85,1.61,1004,1
173,173,Clouds,10.11,137.04,1,24.72,92,1.12,1007,1
174,174,Clouds,1.382,20.31,1,29.14,82,1.81,1001,1
175,175,Clouds,3.998,161.25,1,25.75,97,4.13,1002,1
176,176,Clouds,8.057,838.58,1,22.49,99,2.15,1010,1
177,177,Clear,12.1,581.53,1,26.6,44,1.8,1009,1
178,178,Clear,0.1,0,2,29.34,77,5.57,1008,1
179,179,Clear,0.15,59.78,1,39.72,24,2.48,1001,1
180,180,Clear,15.5,114.91,1,36.87,36,2.02,998,1
181,181,Rain,16,476.82,1,23.3,94,1.65,1001,1
182,182,Clouds,0.4,9.2,1,35.36,47,3.28,1003,1
183,183,Clouds,3,409.16,1,40.65,21,1.94,1001,1
184,184,Clear,0.01,110,1,26.39,70,1.32,1010,1
185,185,Clear,3.4,330.7,1,15.15,98,1.51,1012,1
186,186,Clouds,3.3,57.64,1,31.38,61,1.94,1003,1
187,187,Clouds,4.2,13.73,1,26.87,94,0.44,1002,1
188,188,Clouds,4.1,79.67,1,29.17,76,1.91,1006,1
189,189,Rain,0.3,68.95,1.5,25.72,92,1.24,1002,1
190,190,Clouds,2,88.6,1.5,27.23,94,0.81,1006,1
191,191,Clouds,8,511.51,1,22.44,95,1.35,1012,1
192,192,Clouds,4.6,40.55,1,30.4,76,0.83,1005,1
193,193,Rain,1.6,112.61,1.5,27.65,86,0.62,1006,1
194,194,Clouds,0.58,2.21,2,27.99,94,3.2,1006,1
195,195,Clouds,1.1,56.25,2,33.75,60,2.32,1002,1
196,196,Rain,0.05,71.34,1.5,31.93,76,1.8,998,1
197,197,Clouds,2.3,36.2,1.5,30.97,53,3.33,1007,1
198,198,Rain,1,250.05,1,24.16,96,1.88,1004,1
199,199,Clear,30,320.31,2,14.69,89,1.17,1013,1
200,200,Clear,0.35,274.48,1.5,23.43,76,2.51,1013,1
201,201,Clear,1.85,136.01,1.5,25.24,75,3.1,1006,1
202,202,Rain,2.1,48.64,1.5,27.25,97,3.7,1001,1
203,203,Rain,0.998,118.09,1,27.4,91,2.04,1001,1
204,204,Rain,12,157.16,1.5,28.11,78,1.27,1014,1
205,205,Clouds,1.7,174.27,2,34.37,43,1.85,1005,1
206,206,Clear,1.8,141.51,1.5,24.47,68,1.06,1016,1
207,207,Clouds,2.75,89.85,1.5,32.11,62,2.72,1006,1
208,208,Rain,2.32,109.27,1.5,22.64,97,0.7,1007,1
209,209,Clear,0.1,383.35,1,25.55,75,1.54,1010,1
210,210,Rain,1.9,968.01,1.5,20.95,94,3.81,1011,1
211,211,Rain,7.02,2076.8,1.5,20.55,97,0.64,1006,1
212,212,Clouds,0.01,484,1,24.7,74,1.46,1005,1
213,213,Clouds,0.7,83.26,1,32.21,75,2.71,1002,1
0,0,Clouds,80,340.95,0,44.89,7,5.18,1003,0
1,1,Clear,55,154.6,0,15.89,51,2.47,1013,0
2,2,Clear,34,124.27,0,35.57,26,2.36,1008,0
3,3,Clear,33,89.92,0,15.54,57,1.92,1017,0
4,4,Clouds,25,276.73,0,32.97,49,6.46,1010,0
5,5,Clouds,20,38.61,0,27.77,77,2.91,1009,0
6,6,Clouds,27,114.82,0,31.99,50,1.31,1009,0
7,7,Clouds,30,404.06,0,20.91,54,1.16,1006,0
8,8,Rain,11.31,373,0,27.44,47,3.41,1006,0
9,9,Clouds,9.73,75.22,0,29.05,77,4.94,997,0
10,10,Clouds,66,855.32,0,16.83,78,0.99,1011,0
11,11,Clouds,7.96,12.31,0,28.33,79,9.88,1004,0
12,12,Clouds,5.43,8.85,0,30.16,80,6.85,1005,0
13,13,Clear,27,285.83,0,20.48,25,2.98,1015,0
14,14,Clear,26,197.78,0,12.84,39,1.52,1014,0
15,15,Clear,52,495.78,0,23.72,17,5.45,1010,0
16,16,Clouds,75,1312.69,0,16.41,82,0.45,1011,0
17,17,Clouds,36,296.87,0,23.71,35,0.94,1008,0
18,18,Clouds,14,109.77,0,35.74,57,2.46,989,0
19,19,Rain,33,639.58,0,26.88,70,6.24,1006,0
20,20,Clouds,36.2,156.44,0,22.73,59,2.78,1010,0
21,21,Clouds,45,668.25,0,22.24,88,5.01,1007,0
22,22,Clear,34.3,681.91,0,25.23,18,1.69,1013,0
23,23,Haze,7.2,513.86,0,28.79,31,5.94,1003,0
24,24,Rain,7.36,6.75,0,27.09,87,7.72,996,0
25,25,Clouds,11.03,451.91,0,23.7,83,1.36,1009,0
26,26,Clouds,16.8,37.68,0,21.37,82,4.11,1011,0
27,27,Clouds,9.1,86.27,0,31.42,40,6.8,1004,0
28,28,Clear,43,208,0,30.75,32,1.62,1006,0
29,29,Haze,17,214.97,0,38.41,35,1.91,991,0
30,30,Clouds,74,237.31,0,38.12,14,6.35,1002,0
31,31,Clouds,8.1,472.64,0,30.14,29,1.93,1010,0
32,32,Clouds,5,28.25,0,30.02,82,2.42,1003,0
33,33,Clouds,21.2,223.65,0,20.33,50,5.2,1013,0
34,34,Clouds,8.27,100.63,0,19.54,60,2.01,1014,0
35,35,Clear,7.96,69.5,0,21.34,26,6.5,1016,0
36,36,Clear,4.1,89.71,0,16.05,78,0.32,1010,0
37,37,Clouds,2.42,1206.24,0,19.69,41,3.09,1015,0
38,38,Clouds,25,142.94,0,34.39,36,0.91,1006,0
39,39,Rain,8.2,308,0,23.89,85,2.06,1005,0
40,40,Clear,6.37,15.05,0,33.75,34,6.88,1009,0
41,41,Clouds,2.1,91.98,0,20.1,87,2.41,1016,0
42,42,Clear,36,323.6,0,19,26,2.49,1015,0
43,43,Rain,37,618.96,0,24.55,95,5.31,1001,0
44,44,Rain,14.1,496.4,0,23.48,93,5.31,1002,0
45,45,Rain,14.5,119.76,0,23.78,91,1.3,1009,0
46,46,Clear,20.2,588.78,0,27.24,34,3.74,1011,0
47,47,Clear,8.86,20.98,0,23,46,3.15,1013,0
48,48,Clear,40,555.85,0,24.5,35,2,1014,0
49,49,Clouds,7.71,9.12,0,26.55,83,4.11,1011,0
50,50,Clouds,19.9,8.61,0,22.81,54,3.42,1014,0
51,51,Clouds,16.21,1088.04,0,13.3,38,3.15,1017,0
52,52,Clouds,1.03,297.7,0,27.58,24,2.11,1007,0
53,53,Clouds,34.94,169.06,0,17.4,76,5.11,1009,0
54,54,Clouds,16.2,237.81,0,41.84,27,3.66,994,0
55,55,Clouds,6.1,0.75,0,26.45,66,6,1012,0
56,56,Haze,20,236.9,0,28.3,73,5.89,1008,0
57,57,Clear,37.4,321.13,0,23.49,43,2.93,1014,0
58,58,Clear,13.2,487.97,0,26.29,77,5.34,1008,0
59,59,Clouds,109.5,236.9,0,31.18,59,2.87,1002,0
60,60,Clear,65,377.03,0,37.43,25,3.34,1010,0
61,61,Haze,9.62,1587.48,0,14,81,1.92,1015,0
62,62,Clouds,7.1,561.54,0,20.55,56,0.77,1010,0
63,63,Clear,33.8,182.3,0,26.81,37,3.27,1009,0
64,64,Clear,30,258.28,0,19.28,41,4.22,1013,0
65,65,Clear,64.7,230.66,0,27.98,23,2.11,1010,0
66,66,Clear,3.03,11.33,0,20.25,61,3.76,1013,0
67,67,Clouds,3.7,774.2,0,27.9,47,1.59,1001,0
68,68,Clouds,19.9,506.45,0,25.26,42,2.42,1008,0
69,69,Clouds,30.4,221.97,0,40.81,8,2.36,992,0
70,70,Clear,38,53.34,0,23.91,41,1.56,1015,0
71,71,Clear,14.552,152.93,0,31.72,21,2.58,1008,0
72,72,Rain,6.4,997.24,0,16.99,82,1.03,1011,0
73,73,Rain,3.98,107.81,0,31.63,74,1.68,1002,0
74,74,Haze,4.02,125.32,0,31.88,46,0.18,1004,0
75,75,Clear,18.4,90.46,0,21.33,27,1.11,1011,0
76,76,Clouds,25.3,836.06,0,23.94,77,7.5,1007,0
77,77,Mist,23.12,33.91,0,24.01,75,1.34,1012,0
78,78,Rain,18,24.91,0,21.04,86,0.77,1008,0
79,79,Clear,9.7,280.85,0,26.88,23,3.04,1006,0
80,80,Clear,8.2,351.31,0,31.1,12,2.6,1013,0
81,81,Rain,22.6,454.18,0,29.41,63,6.75,1008,0
82,82,Rain,20,214.26,0,26.22,85,5.65,1004,0
83,83,Clouds,31.9,216.36,0,37.36,40,4.23,995,0
84,84,Rain,0.97,2.27,0,32.13,58,8.06,1005,0
85,85,Clear,1.86,171.68,0,17.38,58,1.92,1016,0
86,86,Rain,19.5,442.45,0,25.15,88,6.61,999,0
87,87,Clouds,9.8,231.92,0,21.15,66,1.8,1006,0
88,88,Clouds,14.1,95,0,28.59,62,6.19,1010,0
89,89,Rain,28.5,219.54,0,35.98,46,3.67,1005,0
90,90,Clear,21.1,289.75,0,20.51,32,2.18,1013,0
91,91,Clouds,23.9,421.01,0,34.9,39,3.6,1001,0
92,92,Clouds,22.4,69.4,0,21.82,94,2.33,1011,0
93,93,Clouds,4.9,264.07,0,29.62,42,3.24,1011,0
94,94,Rain,28.4,345.87,0,23.57,80,2.96,1011,0
95,95,Clouds,23.5,306.38,0,23.22,42,3.22,1015,0
96,96,Clouds,26,94.42,0,27.54,58,2.36,1009,0
97,97,Clear,31,144.18,0,34.19,10,5.32,1008,0
98,98,Clear,35,818.76,0,9.51,80,1.51,1017,0
99,99,Clouds,74.9,817.1,0,27.45,26,5.26,1010,0
100,100,Clouds,14.6,448.88,0,23.49,56,6.56,1013,0
101,101,Clear,31.82,80.62,0,19.53,41,3.58,1011,0
102,102,Clear,33.2,492.02,0,20.49,90,1.36,1011,0
103,103,Haze,17.3,121.72,0,25.03,18,4.39,1013,0
104,104,Clouds,11.3,1433.54,0,17.39,96,0.81,1006,0
105,105,Rain,15.5,62.43,0,35.92,49,1.75,993,0
106,106,Haze,16.3,272.85,0,28.18,29,2.33,1011,0
107,107,Clear,34.1,577.26,0,11.7,36,3.12,1015,0
108,108,Rain,17.9,721.97,0,25.32,68,8.46,1007,0
109,109,Clear,4.8,24.78,0,30.52,23,2.27,1011,0
110,110,Clear,22.6,291.66,0,31.36,12,1.79,1012,0
111,111,Clouds,4.2,319.74,0,16.02,46,1.57,1015,0
112,112,Clouds,13.3,314.26,0,29.46,69,4.03,1005,0
113,113,Clear,11.16,331.11,0,33.43,44,2.32,1002,0
114,114,Clear,49.4,225.4,0,18.87,25,2.01,1016,0
115,115,Clouds,43.6,229.45,0,20.35,49,1.59,1010,0
116,116,Clouds,23.6,467.99,0,28.28,25,3.09,1013,0
117,117,Rain,33.2,107.51,0,22.76,41,3.89,1015,0
118,118,Rain,10.9,15.66,0,33.42,54,7.52,1000,0
119,119,Clouds,31.8,305.52,0,20.3,36,1.49,1014,0
120,120,Clear,5.3,423.78,0,36.47,8,2.34,1008,0
121,121,Clouds,12.6,550.43,0,28.66,20,3.06,1011,0
122,122,Clouds,5.9,526.54,0,26.59,76,5.09,1007,0
123,123,Clear,190,235.65,0,33.69,41,6.82,1004,0
124,124,Clouds,13.9,116.5,0,29.17,36,2.59,1011,0
125,125,Clear,14.9,235.18,0,26.33,16,4.21,1015,0
126,126,Clear,10.9,80.94,0,18.06,32,1.65,1015,0
127,127,Clear,2.6,235.93,0,31.04,39,2.43,1004,0
128,128,Clouds,4.3,8.26,0,42.91,17,0.94,1012,0
129,129,Clear,37.02,236.29,0,14.04,44,0.21,1016,0
130,130,Clear,9.5,449.9,0,24.63,28,1.25,1008,0
131,131,Haze,11.4,77.28,0,30.31,75,3.36,998,0
132,132,Clear,28.8,476.85,0,44.92,6,7.54,999,0
133,133,Clear,10.7,207.82,0,19.95,32,2.82,1017,0
134,134,Rain,7.2,355.3,0,23.65,82,0.75,1010,0
