,Village,District,State,Latitude,Longitude,angle
87,jolanpur,sagar,mp,23.379476,78.646303,
88,amla,betul,mp,21.926717,78.125946,
89,nipania,betul,mp,22.75627,75.921694,
90,laxmapuram,kurnool,mp,15.86596,78.403598,
91,panari,sagar,mp,22.8835,78.941392,
92,patkul,sagar,mp,22.415909,78.816115,
93,bamana,sagar,mp,24.048155,79.068366,
94,singhpur,damoh,mp,22.886119,79.187291,
95,bamhor khera,sagar,mp,23.385067,78.774437,
96,sanga khedi,vidisha,mp,22.929978,76.681797,
97,alkhedi,sagar,mp,24.016858,78.302568,
98,muhra,damoh,mp,23.546123,79.4604,
