forest,sealevel,temp,humidity,wind,cloud,weather,pressure,class
19.31111,267.33,32.45,65,1.37,100,Clouds,996,1
87.67222,71.99,29.17,80,2.88,26,Clouds,1006,1
92.71333,82.68,27.2,93,0.62,100,Rain,1004,1
91.98111,81.65,29.85,76,1.63,30,Clouds,1004,1
94.15889,35.11,28.28,88,2.23,84,Rain,1005,1
90.36222,530.7,28.73,77,2.34,66,Clouds,1009,1
98.7951,73.6,27.05,92,2.61,99,Rain,996,1
90.29111,45.05,32.59,47,2.86,11,Clouds,1005,1
91.50556,154.33,24.8,100,1.83,100,Rain,1002,1
75.9514,59.51,27.35,93,1.22,99,Rain,996,1
71.46889,47.46,29.04,85,5.6,64,Clouds,999,1
89.04889,1351.23,18.59,68,1.85,24,Clouds,1011,1
18.17111,598.94,30.74,57,1.73,25,Clouds,1005,1
83.38778,244.95,26.47,93,3.48,100,Rain,998,1
90.75778,1163.29,23.74,95,0.49,50,Rain,1006,1
96.47512,74.09,25.9,93,1.15,93,Rain,1008,1
89.61,233.7,35.31,26,1.5,96,Clouds,1003,1
61.61111,4333.4,16.12,72,0.71,28,Clouds,1010,1
85.85667,291.49,25.19,93,0.54,69,Clouds,1012,1
58.05444,4376.91,-14.76,59,1.59,96,Clouds,1027,1
80.85667,50.79,32.41,70,2.97,46,Rain,1006,1
83.16444,79.93,19.81,93,1.29,100,Rain,1011,1
52.29778,113.53,28.28,88,3.33,99,Clouds,1001,1
90.75111,87.12,27.44,95,1.48,100,Clouds,1005,1
93.24667,76.76,27.95,87,1.46,10,Clear,1006,1
58.05444,4376.91,-14.76,59,1.59,96,Clouds,1027,1
80.85667,50.79,32.41,70,2.97,46,Rain,1006,1
83.16444,79.93,19.81,93,1.29,100,Rain,1011,1
52.29778,113.53,28.28,88,3.33,99,Clouds,1001,1
90.75111,87.12,27.44,95,1.48,100,Clouds,1005,1
93.24667,76.76,27.95,87,1.46,10,Clear,1006,1
25.24889,52.35,28.52,87,4.41,97,Clouds,1000,1
93.83889,339.54,26.29,89,1.37,4,Clear,1009,1
95.82225,105.81,17.28,92,1.35,98,Rain,1010,1
86.48778,129.3,25.79,95,2.55,64,Clouds,1001,1
90.41889,15.42,27.62,93,1.98,100,Rain,1004,1
87.16556,30.5,24.24,59,2,0,Clear,1014,1
75.9584,-5.72,31.84,80,1.5,20,Clouds,1005,1
85.16222,49,24.43,96,3.74,20,Rain,1005,1
89.6974,92.75,30.29,83,1.2,99,Rain,997,1
7.435556,464.02,34.39,24,2.55,40,Clouds,1010,1
93.03333,742.92,23.89,92,0.95,94,Rain,1010,1
95.92778,290.59,25.07,94,1.3,100,Clouds,1003,1
94.02778,524.75,25.07,92,2.36,88,Rain,1010,1
97.52222,535.16,36.8,47,1.31,44,Clouds,1000,1
88.91778,212.91,32.56,68,1.65,0,Clear,1001,1
86.81667,11.29,25.65,89,2.96,100,Clouds,1005,1
80.61111,1954.28,11.57,76,1.6,5,Clear,1012,1
80.50444,45.18,26.61,81,2.28,100,Clouds,1009,1
1.014444,293.08,23.99,94,3.35,100,Clouds,1003,1
81.89667,299.29,31.04,42,4.94,52,Clouds,1003,1
91.13444,11.98,25.01,85,1.61,13,Rain,1004,1
88.69,137.04,24.72,92,1.12,74,Clouds,1007,1
84.42667,20.31,29.14,82,1.81,46,Clouds,1001,1
87.83333,161.25,25.75,97,4.13,87,Clouds,1002,1
93.45111,838.58,22.49,99,2.15,34,Clouds,1010,1
61.78,59.78,39.72,24,2.48,1,Clear,1001,1
92.43556,114.91,36.87,36,2.02,1,Clear,998,1
96.89111,476.82,23.3,94,1.65,100,Rain,1001,1
80.81667,9.2,35.36,47,3.28,70,Clouds,1003,1
96.6574,409.16,40.65,21,1.94,81,Clouds,1001,1
69.34667,110,26.39,70,1.32,5,Clear,1010,1
87.77889,57.64,31.38,61,1.94,100,Clouds,1003,1
91.44556,13.73,26.87,94,0.44,83,Clouds,1002,1
88.59444,79.67,29.17,76,1.91,52,Clouds,1006,1
89.76333,68.95,25.72,92,1.24,96,Rain,1002,1
74.40667,88.6,27.23,94,0.81,88,Clouds,1006,1
52.27556,511.51,22.44,95,1.35,100,Clouds,1012,1
92.32222,40.55,30.4,76,0.83,26,Clouds,1005,1
43.71222,112.61,27.65,86,0.62,100,Rain,1006,1
92.18889,2.21,27.99,94,3.2,32,Clouds,1006,1
90.54333,56.25,33.75,60,2.32,31,Clouds,1002,1
90.09778,71.34,31.93,76,1.8,100,Rain,998,1
94.54889,36.2,30.97,53,3.33,43,Clouds,1007,1
90.28444,250.05,24.16,96,1.88,100,Rain,1004,1
90.55333,48.64,27.25,97,3.7,98,Rain,1001,1
90.34556,118.09,27.4,91,2.04,100,Rain,1001,1
98.7462,157.16,28.11,78,1.27,47,Rain,1014,1
85.90111,174.27,34.37,43,1.85,55,Clouds,1005,1
93.06,141.51,24.47,68,1.06,1,Clear,1016,1
57.72222,89.85,32.11,62,2.72,29,Clouds,1006,1
93.68778,109.27,22.64,97,0.7,100,Rain,1007,1
60.44667,383.35,25.55,75,1.54,0,Clear,1010,1
